questions,answer
336+903,942 
  82+17,99  
 451+39,247 
  539+7,942 
  16+59,156 
  7+546,652 
 45+888,942 
 475+09,664 
 879+79,1075
  3+412,217 
  974+6,485 
  162+5,266 
675+116,1187
541+208,947 
  71+18,98  
 98+142,330 
  319+6,919 
583+822,613 
  82+73,65  
 502+43,239 
  5+902,214 
 46+993,463 
 34+131,174 
 787+62,813 
  8+769,975 
106+353,954 
  044+2,442 
  8+079,978 
716+914,1036
  028+7,827 
  29+71,109 
523+259,1277
  487+3,787 
506+242,847 
889+756,1645
485+542,829 
 28+894,580 
  128+1,822 
 49+937,833 
  78+19,178 
  93+02,59  
 814+15,469 
  01+56,75  
 987+26,851 
  23+98,121 
  614+9,425 
 916+57,694 
 006+25,652 
 183+55,436 
  35+91,72  
  5+868,873 
  28+28,164 
  106+1,602 
  079+0,970 
 067+75,817 
 674+08,556 
 63+695,632 
  0+252,252 
  2+459,956 
 818+35,871 
 81+441,162 
417+813,1032
  729+9,936 
 389+76,1050
216+296,1304
  745+1,548 
  251+2,154 
 823+34,371 
  428+4,828 
 689+68,1072
 85+165,619 
 64+319,959 
716+669,1583
  79+04,137 
  08+01,90  
  181+8,189 
  8+857,766 
 57+105,576 
089+202,1182
 505+82,533 
 12+327,744 
  9+393,402 
  433+5,339 
184+494,975 
 773+42,401 
724+184,908 
  3+528,828 
  809+9,917 
 96+821,197 
  56+62,91  
 248+35,895 
 95+737,796 
 92+965,598 
 095+95,649 
  587+1,786 
  9+035,539 
  6+716,623 
  302+3,206 
 513+17,386 
  1+593,396 
  7+228,829 
 54+935,584 
 439+43,968 
  4+656,660 
 55+019,965 
572+008,1075
 83+863,406 
 537+91,754 
 818+24,860 
  1+774,478 
 753+77,434 
 18+514,496 
   9+93,48  
  9+806,617 
  992+8,307 
367+332,996 
 711+65,173 
  069+6,966 
006+108,1401
 501+21,117 
 56+007,765 
674+923,805 
 07+229,992 
 372+27,345 
 99+899,1097
  8+984,497 
  45+01,64  
 162+89,359 
  8+686,694 
  009+3,903 
348+536,1478
524+118,1236
  66+29,158 
  763+2,369 
  526+3,628 
107+064,1161
 013+21,322 
  525+9,534 
 467+29,856 
  833+9,347 
  705+1,508 
  01+28,92  
  9+691,205 
299+941,1141
 614+74,463 
 586+15,736 
208+266,1464
 41+011,124 
 14+047,781 
805+618,1324
  6+312,219 
 179+04,1011
188+778,1758
 001+51,115 
 28+377,855 
  17+52,96  
  1+696,697 
  6+439,940 
  438+4,838 
084+567,1245
  67+87,154 
 388+44,927 
145+365,1104
859+549,1903
  64+56,111 
  3+724,430 
379+178,1844
  87+23,110 
 822+99,327 
  105+0,501 
 06+334,493 
  09+26,152 
  76+21,79  
 93+124,460 
  552+7,262 
987+968,1658
  5+804,413 
854+014,868 
823+837,1066
   15+6,57  
  0+369,963 
368+496,1557
 89+195,689 
 204+99,501 
  6+466,670 
  81+37,91  
 344+44,487 
 01+251,162 
  592+9,304 
  3+702,210 
  392+3,296 
 19+207,793 
 13+975,610 
 677+65,832 
 836+35,691 
  1+011,111 
  12+43,55  
241+831,280 
  8+177,779 
 051+26,212 
  8+766,675 
 95+228,881 
  2+135,533 
  0+556,655 
 032+47,304 
   6+43,40  
427+997,1523
 21+766,679 
 37+131,204 
182+271,453 
 05+425,574 
  93+26,101 
 82+654,484 
  9+541,154 
  209+6,908 
 89+525,623 
  019+3,913 
  0+815,518 
  35+33,86  
015+869,1478
  8+782,295 
 094+04,530 
  699+6,1002
  179+0,971 
 004+81,418 
235+984,1021
016+576,1285
  5+056,655 
 243+81,360 
  82+93,67  
  77+97,156 
  61+58,101 
  5+829,933 
889+747,1735
  9+919,928 
 868+78,955 
  345+6,549 
 55+748,902 
  0+722,227 
306+098,1493
  67+93,115 
  447+9,753 
  58+36,148 
 19+116,702 
  3+403,307 
  3+618,819 
  938+7,846 
 331+36,196 
 28+795,679 
  0+748,847 
819+125,1439
  5+478,879 
  34+48,127 
 07+113,381 
  61+55,71  
 462+84,312 
637+178,1607
 71+884,505 
  558+3,858 
 863+25,420 
  716+0,617 
 981+29,281 
932+415,753 
   16+1,62  
  43+24,76  
 88+768,955 
 652+13,287 
 235+77,609 
 711+34,160 
 968+84,917 
 13+705,538 
   6+55,61  
 194+44,535 
 771+07,247 
  87+26,140 
  72+16,88  
337+061,893 
  67+94,125 
 115+88,599 
  24+81,60  
329+998,1822
  3+351,156 
  912+8,227 
 57+174,546 
  99+91,118 
977+135,1310
 311+43,147 
  612+5,221 
  5+445,549 
  937+0,739 
831+652,394 
 71+986,706 
 43+667,800 
  86+95,127 
  2+198,893 
  652+1,257 
 86+213,380 
362+881,451 
  4+658,860 
 197+79,888 
  241+1,143 
 19+724,518 
  3+635,539 
 878+13,909 
  7+733,344 
 19+054,541 
 09+939,1029
  136+6,637 
493+282,676 
 075+15,621 
762+737,1004
  37+91,92  
  76+75,124 
 28+492,376 
885+217,1300
 42+172,295 
 131+41,145 
   1+55,56  
  5+599,1000
769+161,1128
  7+459,961 
 575+55,630 
   07+3,73  
 007+53,735 
  5+859,963 
485+004,984 
077+228,1592
 675+79,673 
  083+9,389 
 612+73,253 
  3+111,114 
  71+58,102 
  417+5,719 
  266+9,671 
  751+2,159 
  24+64,88  
  5+556,660 
  04+04,80  
927+394,1222
 201+46,166 
001+936,739 
  5+861,173 
089+519,1895
  12+15,72  
  83+54,83  
576+912,894 
512+569,1180
 042+32,263 
 931+91,158 
 87+682,364 
 724+32,450 
 18+739,1018
  067+1,761 
 966+89,767 
  3+743,350 
  63+25,88  
  057+1,751 
  215+1,513 
039+389,1913
 61+756,673 
 18+288,963 
302+638,1039
  87+13,109 
074+329,1393
  19+17,162 
006+363,963 
  7+242,249 
  916+9,628 
 593+73,432 
  67+28,158 
539+297,1727
  2+196,693 
602+491,400 
  68+25,138 
 516+21,627 
  22+74,69  
  38+23,115 
 442+28,326 
 74+075,617 
953+579,1334
 56+928,894 
 932+42,263 
 652+53,291 
583+642,631 
 54+244,487 
044+818,1258
  2+237,734 
194+039,1421
  56+54,110 
 022+41,234 
  9+389,992 
 882+92,317 
 611+37,189 
 891+67,274 
 484+44,528 
  43+11,45  
007+096,1390
  528+5,830 
  78+86,155 
 65+168,917 
  978+9,888 
  454+9,463 
 36+749,1010
 19+751,248 
  7+837,745 
  27+44,116 
 158+67,927 
465+202,766 
464+191,655 
 17+151,222 
872+496,972 
  18+49,175 
 21+506,617 
 171+04,211 
  0+201,102 
  2+546,647 
  27+53,107 
  924+8,437 
908+094,1299
  6+232,238 
  39+36,156 
489+233,1316
   85+9,67  
 388+96,952 
071+854,628 
 626+01,636 
299+239,1924
 562+05,315 
 121+16,182 
 92+972,308 
  687+9,795 
669+097,1756
  4+993,403 
 581+41,199 
 34+539,978 
282+273,654 
  987+3,792 
863+037,1098
  967+1,770 
712+686,903 
  2+933,341 
073+908,1179
 77+527,802 
  41+15,65  
 78+627,813 
  2+476,676 
   04+1,41  
  746+1,648 
  7+231,139 
  5+939,944 
707+155,1258
   69+5,101 
  643+9,355 
  342+9,252 
 24+576,717 
 99+652,355 
391+891,391 
  9+854,467 
 11+966,680 
041+902,349 
043+615,856 
259+889,1940
  415+9,523 
 01+604,416 
957+755,1316
  15+13,82  
  257+3,755 
 134+79,528 
 562+75,322 
  07+86,138 
311+245,655 
 24+359,995 
  69+38,179 
  2+478,876 
 54+628,871 
024+919,1339
 58+202,287 
 19+274,563 
114+322,634 
  7+212,219 
 52+945,574 
  9+732,246 
723+512,542 
  6+843,354 
  9+505,514 
844+894,946 
  584+4,489 
082+908,1089
  1+269,963 
022+401,324 
354+684,939 
  9+345,552 
  91+76,86  
  4+351,157 
 09+916,709 
 055+24,592 
  54+75,102 
  2+296,694 
946+372,922 
  84+83,86  
 28+791,279 
 49+774,571 
 902+73,246 
  923+8,337 
 24+898,940 
  2+381,185 
  77+99,176 
204+961,571 
 961+76,236 
  76+38,150 
  128+4,825 
875+077,1348
 29+948,941 
  64+51,61  
 18+541,226 
 35+121,174 
 28+829,1010
  5+128,826 
 55+643,401 
 777+76,844 
055+925,1079
 468+45,918 
805+622,734 
 671+44,220 
 04+406,644 
 833+91,357 
  112+6,217 
 659+83,994 
 63+395,629 
  606+7,613 
 73+467,801 
048+896,1538
 863+42,392 
 86+279,1040
 754+25,509 
  949+1,950 
 67+399,1069
 81+229,940 
  35+25,105 
  4+048,844 
  0+097,790 
425+764,991 
 492+78,381 
595+273,967 
  8+683,394 
 65+493,450 
 88+162,349 
  79+47,171 
  84+67,124 
 09+658,946 
 83+217,750 
 62+377,799 
  4+242,246 
  9+028,829 
 815+04,558 
 967+79,866 
  9+167,770 
 19+053,441 
  02+01,30  
 066+15,711 
177+739,1708
 323+64,369 
 365+58,648 
  279+6,978 
  291+7,199 
 861+14,209 
  7+564,472 
  1+475,575 
 323+47,397 
142+672,517 
  14+95,100 
  6+796,703 
  435+7,541 
 595+04,635 
 878+26,940 
 099+22,1012
 66+098,956 
  7+813,325 
131+688,1017
  36+43,97  
046+035,1170
  3+485,587 
 46+548,909 
 967+63,805 
  54+21,57  
  0+498,894 
  577+8,783 
  83+55,93  
  09+47,164 
 507+69,801 
443+543,689 
643+504,751 
 249+16,1003
  32+84,71  
 126+94,670 
  256+4,656 
  3+089,983 
  4+192,295 
777+355,1330
 571+33,208 
  5+361,168 
  199+6,997 
 77+957,836 
 567+94,814 
  53+68,121 
 26+711,179 
 11+378,884 
  33+93,72  
 59+795,692 
 23+473,406 
  99+27,171 
  62+05,76  
  757+0,757 
  44+17,115 
  99+22,121 
104+051,551 
 036+56,695 
 245+18,623 
 51+248,857 
 11+934,450 
895+534,1033
 23+311,145 
361+388,1046
  863+4,372 
 59+839,1033
 907+58,794 
  7+287,789 
  575+1,576 
 74+486,731 
294+349,1435
 72+277,799 
089+808,1788
 27+056,722 
  9+436,643 
 123+51,336 
  2+553,357 
  42+84,72  
 18+375,654 
  0+378,873 
  889+4,992 
 085+62,606 
 394+93,532 
 422+17,295 
 47+124,495 
957+576,1434
 15+322,274 
  5+382,288 
  893+0,398 
  1+308,804 
 109+42,925 
  0+933,339 
226+863,990 
  7+352,260 
 81+505,523 
  564+2,467 
 169+69,1057
 82+161,189 
  0+202,202 
 055+79,647 
  749+7,954 
 02+427,744 
  024+7,427 
  4+941,153 
 57+711,192 
  686+5,691 
 53+786,722 
238+285,1414
  7+307,710 
 845+18,629 
 83+166,699 
 248+81,860 
371+334,606 
  159+6,957 
 52+833,363 
  0+049,940 
 21+603,318 
  8+727,735 
  3+349,946 
 08+217,792 
  96+59,164 
 047+04,780 
 447+74,791 
  88+59,183 
  898+3,901 
  35+68,139 
  9+862,277 
 14+226,663 
  49+14,135 
 583+29,477 
  9+852,267 
  4+026,624 
  98+33,122 
   8+15,59  
  972+0,279 
817+642,964 
  0+287,782 
  04+12,61  
  2+577,777 
  3+652,259 
  89+28,180 
  23+62,58  
  2+367,765 
  3+025,523 
 08+363,443 
  01+03,40  
 409+29,996 
 457+87,832 
 908+22,831 
  834+7,445 
 738+24,879 
 675+21,588 
626+716,1243
 909+31,922 
  878+9,887 
 76+339,1000
  048+6,846 
662+552,521 
  96+32,92  
  4+758,861 
923+205,831 
  77+17,148 
  1+561,166 
  06+14,101 
 59+213,407 
  62+73,63  
 652+64,302 
 16+897,859 
  8+852,266 
 945+24,591 
921+466,793 
  56+33,98  
  7+215,519 
  24+66,108 
  0+015,510 
  167+2,763 
 438+16,895 
 131+22,153 
  0+967,769 
  8+365,571 
 47+764,541 
033+992,629 
  6+516,621 
745+637,1283
 439+24,976 
  672+3,279 
 305+69,599 
 696+67,772 
 27+652,328 
  8+257,760 
 96+851,227 
  849+6,954 
  824+2,430 
649+394,1439
  763+0,367 
 41+172,285 
534+045,975 
  49+63,130 
  794+8,505 
215+648,1358
  555+3,558 
 874+79,575 
 41+851,172 
 984+17,560 
 784+01,497 
559+273,1327
 17+383,454 
 86+885,656 
395+944,1042
643+934,785 
  825+7,535 
  0+016,610 
  1+586,686 
474+019,1384
 798+47,971 
276+341,815 
299+964,1461
 05+832,288 
  5+606,611 
 547+96,814 
  39+47,167 
  5+483,389 
431+473,508 
  977+6,785 
  36+89,161 
  06+24,102 
  96+41,83  
 253+34,395 
 14+456,695 
  47+31,87  
 549+71,962 
  91+13,50  
 074+46,534 
 05+454,504 
  4+379,977 
  394+3,496 
  256+0,652 
 072+54,315 
  049+7,947 
 764+78,554 
  91+58,104 
 505+26,567 
  33+65,89  
  239+4,936 
  62+83,64  
  76+88,155 
591+486,879 
 388+24,925 
  8+123,329 
 57+753,432 
  62+13,57  
  487+0,784 
  4+211,116 
  7+075,577 
 201+69,198 
  73+35,90  
  928+7,836 
 37+963,442 
 555+47,629 
 649+53,981 
 33+407,737 
 32+493,417 
  81+89,116 
  477+5,779 
  3+296,695 
  947+9,758 
 367+47,837 
  2+484,486 
 699+25,1048
514+112,626 
  4+811,122 
 229+49,1016
  31+81,31  
 054+04,490 
 096+71,707 
 05+163,411 
  06+55,115 
  298+2,894 
 49+851,252 
  6+933,345 
  09+27,162 
  306+0,603 
  89+02,118 
734+361,600 
 268+29,954 
  83+94,87  
797+968,1666
 08+105,581 
 65+039,986 
 62+307,729 
  959+5,964 
026+778,1497
 313+48,397 
  039+6,936 
 431+49,228 
973+412,593 
 238+02,852 
923+636,965 
  7+074,477 
  09+54,135 
  0+444,444 
  83+44,82  
677+175,1347
  86+46,132 
  75+86,125 
 519+73,952 
 092+48,374 
 34+796,740 
 74+251,199 
  647+9,755 
 78+061,247 
  05+65,106 
  23+94,81  
  4+774,481 
155+175,1122
  103+0,301 
937+272,1011
 037+62,756 
  661+3,169 
 48+683,470 
 103+98,390 
  654+8,464 
  218+2,814 
  05+74,97  
  63+75,93  
081+801,288 
 523+61,341 
 974+33,512 
  496+3,697 
  111+0,111 
 09+296,782 
 45+802,262 
 456+43,688 
  486+6,690 
 71+624,443 
 341+53,178 
  109+3,904 
  333+2,335 
  84+28,130 
  7+526,632 
 167+08,841 
809+665,1474
 25+002,252 
 61+036,646 
  32+33,56  
  9+043,349 
172+302,474 
 238+15,883 
  24+08,122 
  82+85,86  
 54+482,329 
  54+66,111 
  81+55,73  
 865+32,591 
845+824,976 
 166+79,758 
 652+73,293 
953+344,802 
597+708,1602
 23+022,252 
 682+12,307 
  094+5,495 
 633+41,350 
 439+97,1013
  857+3,761 
  6+577,781 
 591+26,257 
 42+816,642 
  6+216,618 
  8+425,532 
  67+83,114 
  38+15,134 
 165+29,653 
  1+795,598 
691+508,1001
 18+592,376 
  5+499,999 
335+058,1383
  376+1,674 
  68+81,104 
  1+238,833 
291+382,475 
 231+01,142 
057+926,1379
  81+87,96  
  52+11,36  
629+966,1595
  978+7,886 
  385+5,588 
 86+514,483 
205+947,1251
  038+2,832 
  0+337,733 
  35+78,140 
  026+9,629 
  8+319,921 
  3+503,308 
  732+5,242 
324+262,685 
  547+4,749 
466+711,781 
  825+8,536 
  9+386,692 
  344+6,449 
  55+62,81  
 95+933,398 
 048+47,914 
 826+96,697 
  1+565,566 
  6+893,404 
  44+25,96  
 849+05,998 
 342+82,271 
 04+427,764 
  973+7,386 
  9+882,297 
 79+953,456 
748+229,1769
  016+7,617 
 342+23,275 
  4+051,154 
  84+06,108 
 18+149,1022
687+535,1321
  642+4,250 
 04+286,722 
 317+08,793 
  77+74,124 
  591+3,198 
951+712,376 
 89+982,387 
  05+78,137 
686+625,1212
  08+04,120 
 51+221,137 
  095+4,594 
  7+198,898 
  899+5,1003
088+003,1180
  5+508,810 
  317+2,715 
791+635,733 
938+861,1007
  84+88,136 
 45+814,472 
  39+22,115 
 392+19,384 
118+297,1603
  68+01,96  
  98+02,109 
 34+789,1030
392+522,518 
 52+762,292 
 674+64,522 
 749+04,987 
   1+41,15  
 478+23,906 
  077+2,772 
  76+19,158 
148+318,1654
  5+455,559 
  654+6,462 
  54+81,63  
 458+19,945 
 73+714,454 
429+191,1115
 962+61,285 
817+841,866 
 79+705,604 
  1+769,968 
 16+321,184 
  6+234,438 
  5+165,566 
 62+303,329 
  895+7,605 
  8+189,989 
561+598,1060
 45+014,464 
351+267,915 
615+608,1322
  1+791,198 
682+694,782 
 75+672,333 
 385+57,658 
  818+0,818 
404+822,632 
 97+774,556 
   0+16,61  
 25+719,969 
 155+68,637 
 01+393,403 
  1+529,926 
 244+75,499 
  9+949,958 
  1+578,876 
 377+02,793 
124+775,998 
228+322,1045
 734+74,484 
   9+31,22  
  093+5,395 
 92+876,707 
927+489,1713
874+363,841 
245+523,867 
  32+74,70  
987+188,1670
  012+2,212 
231+911,251 
912+084,699 
 685+93,625 
  0+913,319 
 171+62,197 
061+455,714 
 597+07,865 
  44+08,124 
 081+28,262 
 624+92,455 
 75+488,941 
 09+015,600 
 75+953,416 
   5+07,75  
 06+564,525 
 413+39,407 
  25+92,81  
797+639,1733
685+953,945 
  402+1,205 
   6+99,105 
 632+02,256 
 825+93,567 
  76+04,107 
 99+729,1026
  091+0,190 
 372+24,315 
 39+416,707 
  607+2,708 
  9+025,529 
202+116,813 
 935+98,628 
925+907,1238
 36+145,604 
  69+42,120 
 97+056,729 
  371+2,175 
  334+8,441 
 88+367,851 
301+739,1040
  9+667,775 
 789+75,1044
 08+531,215 
  187+6,787 
248+154,1293
  01+57,85  
 89+491,292 
 153+69,447 
225+561,687 
 56+313,378 
  39+64,139 
188+921,1010
546+706,1252
  499+7,1001
  181+4,185 
 373+73,410 
 76+686,753 
056+909,1559
683+015,896 
 32+416,637 
  274+4,476 
  9+857,767 
  9+927,738 
  4+752,261 
  67+66,142 
 909+12,930 
332+271,405 
755+519,1472
 49+728,921 
  63+79,133 
  514+7,422 
   98+1,90  
  9+343,352 
  327+3,726 
 506+19,696 
785+497,1381
  68+39,179 
  68+99,185 
 275+47,646 
  06+16,121 
  7+828,835 
 14+398,934 
  6+773,383 
  95+91,78  
  629+0,926 
427+909,1633
 81+961,187 
  0+472,274 
967+747,1516
 181+59,276 
682+804,694 
  575+2,577 
 02+717,737 
  63+58,121 
 614+13,447 
 39+858,951 
  5+983,394 
 75+402,261 
  6+256,658 
 867+37,841 
 61+959,975 
682+799,1283
  929+0,929 
 87+707,785 
 62+468,890 
  79+69,193 
  41+79,111 
 77+767,844 
  8+215,520 
  469+7,971 
  85+19,149 
  668+4,870 
  11+73,48  
 731+76,204 
  224+5,427 
 91+654,475 
  47+17,145 
 11+142,252 
  3+792,300 
 75+715,574 
 05+267,812 
  127+2,723 
108+662,1067
 93+545,584 
 07+502,275 
  9+993,408 
983+551,544 
 506+08,685 
 541+63,181 
  4+207,706 
  83+92,67  
 403+57,379 
  439+9,943 
  859+9,967 
  01+46,74  
 943+26,411 
  87+32,101 
 485+47,658 
  518+8,823 
  422+6,230 
  07+08,150 
  23+23,64  
 55+278,927 
  159+0,951 
  1+959,960 
  115+7,518 
 905+76,576 
  42+86,92  
  0+648,846 
  6+063,366 
  3+612,219 
 95+629,985 
  8+312,221 
208+801,910 
  787+1,788 
211+875,690 
 372+33,306 
  6+869,974 
 18+785,668 
  586+9,694 
  885+6,594 
  9+279,981 
  5+155,556 
 96+545,614 
 751+89,255 
 79+616,713 
  256+3,655 
  6+002,206 
  32+71,40  
  1+552,256 
  237+3,735 
 59+616,711 
413+525,839 
 73+619,953 
 66+473,440 
 036+13,661 
189+809,1889
  1+039,931 
  15+09,141 
  73+68,123 
  637+7,743 
223+762,589 
  786+9,696 
 18+568,946 
  6+296,698 
  759+2,959 
  67+07,146 
 69+353,449 
  71+78,104 
  0+476,674 
565+658,1421
  764+5,472 
 458+34,897 
  4+101,105 
  329+6,929 
847+855,1306
529+272,1197
674+756,1133
 051+79,247 
  1+068,861 
 013+54,355 
 96+812,287 
 247+97,821 
 44+464,508 
 74+598,942 
  582+7,292 
  3+461,167 
  9+983,398 
204+429,1326
093+445,934 
  6+953,365 
  289+7,989 
 03+484,514 
  69+34,139 
  606+0,606 
 538+32,858 
 26+629,988 
 317+73,750 
184+488,1365
 791+47,271 
 02+577,795 
 653+29,448 
  504+1,406 
598+977,1674
 09+644,536 
  38+48,167 
  5+687,791 
  9+373,382 
953+094,849 
  695+4,600 
  515+5,520 
  63+19,127 
 46+053,414 
 907+94,758 
058+263,1212
815+286,1200
  539+5,940 
 939+93,978 
  8+561,173 
 66+666,732 
311+546,758 
 803+02,328 
   6+53,41  
803+342,551 
  68+91,105 
  971+3,182 
  34+01,53  
 782+92,316 
   3+73,40  
 04+915,559 
  886+6,694 
365+837,1301
  3+451,157 
  52+98,114 
  04+09,130 
  35+41,67  
 77+296,769 
 35+718,870 
921+327,852 
  0+619,916 
 98+369,1052
 984+85,547 
 032+79,327 
  845+5,553 
  322+1,224 
987+162,1050
798+579,1872
 073+08,450 
  44+38,127 
  038+1,831 
 466+65,720 
  086+6,686 
  957+6,765 
 725+44,571 
  5+371,178 
737+372,1010
293+814,810 
 86+175,639 
164+167,1222
 48+881,272 
 624+75,483 
  14+21,53  
  773+8,385 
  981+9,198 
  5+446,649 
  65+16,117 
459+941,1103
464+197,1255
 15+932,290 
219+187,1693
647+235,1278
  107+3,704 
 784+32,510 
536+361,798 
  42+63,60  
   92+3,32  
 751+41,171 
  576+9,684 
 837+43,772 
  37+04,113 
  674+8,484 
  579+7,982 
767+466,1431
 603+63,342 
  377+7,780 
 084+92,509 
  85+39,151 
 53+725,562 
 979+67,1055
  9+952,268 
  16+94,110 
 987+52,814 
984+686,1175
  58+72,112 
  55+46,119 
  0+552,255 
  25+94,101 
351+343,496 
 815+42,542 
  2+389,985 
 08+411,194 
 87+061,238 
873+937,1117
  397+9,802 
  8+954,467 
 929+29,1021
554+085,1035
 24+171,213 
  0+205,502 
  4+873,382 
  83+12,59  
 44+087,824 
 53+033,365 
 44+075,614 
578+438,1709
 67+796,773 
 763+75,424 
  646+1,647 
  01+81,28  
 89+407,802 
  1+674,477 
  146+6,647 
891+296,890 
  69+69,192 
  683+3,389 
  981+3,192 
  7+576,682 
  1+837,739 
  6+856,664 
 428+65,880 
 691+36,259 
593+416,1009
  8+751,165 
 04+162,301 
964+546,1114
  61+27,88  
 189+87,1059
064+479,1434
  6+052,256 
 94+168,910 
528+446,1469
  73+88,125 
624+941,575 
223+552,577 
 721+93,166 
  081+8,188 
 614+28,498 
  359+0,953 
  62+77,103 
  456+5,659 
  65+31,69  
 06+006,660 
669+693,1362
  86+08,148 
 325+88,611 
  39+07,163 
 22+596,717 
  21+48,96  
  0+426,624 
  8+642,254 
 334+18,514 
 87+014,488 
 282+32,305 
856+668,1524
 57+286,757 
 929+41,943 
 976+52,704 
  44+36,107 
   35+4,57  
 835+11,549 
 207+31,715 
  46+14,105 
  22+67,98  
332+753,590 
  788+8,895 
  1+507,706 
 973+15,430 
 54+739,982 
  574+1,476 
 515+02,535 
  5+502,210 
776+991,876 
  1+639,937 
 85+665,624 
  63+64,82  
  23+67,108 
  8+245,550 
801+147,849 
 39+875,671 
  303+6,309 
 418+58,899 
 58+874,563 
  8+077,778 
 654+79,553 
  48+51,99  
  02+35,73  
 12+299,1013
  281+2,184 
  091+6,196 
  54+14,86  
  6+722,233 
 669+39,1059
  67+49,170 
  53+09,125 
  8+925,537 
  47+23,106 
  31+46,77  
728+439,1761
  2+017,712 
  324+3,426 
  13+22,53  
 43+445,578 
 681+01,196 
  52+29,117 
095+321,713 
 783+06,447 
  26+65,118 
 358+56,918 
  814+9,427 
  581+9,194 
 38+528,908 
  572+3,278 
 886+06,748 
562+096,955 
 96+713,386 
 719+66,983 
 063+14,401 
  4+093,394 
 732+22,259 
 26+378,935 
 036+78,717 
  68+27,158 
  8+786,695 
 761+45,221 
  352+8,261 
 07+852,328 
811+743,465 
  314+4,417 
  4+057,754 
 085+76,647 
 974+23,511 
 96+809,977 
247+595,1337
 74+655,603 
328+516,1438
  883+4,392 
  08+31,93  
  512+4,219 
066+736,1297
207+326,1325
 35+308,856 
  775+4,581 
  869+5,973 
 764+91,486 
  4+988,893 
  71+79,114 
314+763,780 
  945+7,556 
  08+35,133 
 158+24,893 
  8+061,168 
 67+786,763 
  2+244,444 
  1+941,150 
 77+691,273 
132+689,1217
  85+53,93  
  407+2,706 
  1+642,247 
  4+846,652 
467+912,983 
  9+269,971 
  73+74,84  
 122+58,306 
 678+45,930 
 32+912,242 
 14+518,856 
486+284,1166
 448+99,943 
 24+602,248 
 744+45,501 
  96+06,129 
  88+07,158 
  816+7,625 
  346+2,645 
  7+166,668 
 319+99,1012
 67+752,333 
251+797,949 
  559+8,963 
  7+817,725 
  002+4,204 
073+331,503 
736+559,1592
 935+62,565 
 46+391,257 
  1+279,973 
499+462,1258
 99+048,939 
  2+379,975 
  111+6,117 
  71+82,45  
341+021,263 
  1+473,375 
  8+059,958 
  619+8,924 
  9+091,199 
743+052,597 
 392+36,356 
  5+777,782 
 551+25,207 
 76+369,1030
  2+514,417 
  23+53,67  
  75+08,137 
197+019,1701
  2+124,423 
125+448,1365
899+281,1180
243+999,1341
 313+87,391 
289+104,1383
  52+92,54  
 655+04,596 
  8+785,595 
  4+028,824 
 92+004,429 
247+016,1352
 718+34,860 
  75+31,70  
 018+99,909 
  731+5,142 
817+448,1562
154+041,591 
521+081,305 
  98+16,150 
  772+5,282 
  138+9,840 
  542+7,252 
287+709,1689
  034+1,431 
159+484,1435
  987+4,793 
 396+89,791 
  82+89,126 
  4+636,640 
 166+05,711 
 527+34,768 
  45+64,100 
  3+091,193 
 37+497,867 
  524+1,426 
 289+67,1058
 847+18,829 
 425+96,593 
  5+228,827 
  019+9,919 
627+956,1385
 57+955,634 
  13+23,63  
  79+05,147 
  054+2,452 
559+271,1127
  969+8,977 
  77+81,95  
 956+11,670 
 404+44,448 
  1+936,640 
747+404,1151
 007+43,734 
 51+492,309 
 74+633,383 
 47+479,1048
  2+987,791 
  6+474,480 
  3+535,538 
 272+85,330 
 11+586,696 
  92+27,101 
 21+491,206 
  485+8,592 
   9+18,90  
676+412,890 
251+781,339 
 565+78,652 
  816+5,623 
917+349,1662
 11+334,444 
 432+39,327 
  1+996,700 
 051+51,165 
 86+151,219 
288+722,1109
 944+21,461 
 173+69,467 
 54+604,451 
815+157,1269
416+495,1208
 33+913,352 
 06+954,519 
003+517,1015
 173+11,382 
001+216,712 
  777+9,786 
  3+064,463 
  022+9,229 
118+884,1299
 703+95,366 
  57+02,95  
  9+848,857 
 538+51,850 
  43+38,117 
  1+911,120 
  79+61,113 
  3+634,439 
 069+27,1032
597+964,1264
  67+51,91  
  537+9,744 
874+515,993 
  22+08,102 
 264+55,517 
  549+6,951 
455+206,1156
  307+5,708 
 42+249,966 
 84+734,485 
 193+64,437 
  53+12,56  
562+031,395 
  673+2,378 
  5+847,753 
  3+241,145 
 32+966,692 
 36+014,473 
  052+8,258 
  65+13,87  
538+061,995 
  9+731,146 
  79+45,151 
  5+448,849 
  853+5,363 
374+554,928 
  066+4,664 
  62+62,52  
  5+154,456 
  88+93,127 
258+691,1048
 709+87,985 
  707+0,707 
 951+47,233 
  743+9,356 
228+784,1309
 81+514,433 
 363+19,454 
 648+52,871 
 384+45,537 
 765+81,585 
  627+8,734 
 83+272,310 
  44+96,113 
471+056,824 
 843+31,361 
 81+928,847 
 63+932,275 
  198+9,900 
 39+217,805 
 25+298,944 
 371+24,215 
  15+39,144 
  185+4,585 
 907+86,777 
  99+66,165 
 903+06,369 
  7+953,366 
922+332,462 
  196+7,698 
  379+7,980 
 87+307,781 
586+614,1101
 554+61,471 
924+894,927 
  154+1,452 
  346+7,650 
 03+195,621 
  9+996,708 
286+017,1392
 86+994,567 
  45+23,86  
  1+282,283 
 42+899,1022
  1+617,717 
658+439,1790
532+341,378 
 247+62,768 
  247+0,742 
 129+12,942 
  665+8,574 
 63+057,786 
 95+838,897 
  3+606,609 
